Fold,Iteration,TotalLoss,Accuracy
1,1,508.0,0.5352112676056338
1,2,508.0,0.5352112676056338
1,3,778.0,0.4647887323943662
1,4,508.0,0.5352112676056338
1,5,508.0,0.5352112676056338
1,6,778.0,0.4647887323943662
1,7,508.0,0.5352112676056338
1,8,508.0,0.5352112676056338
1,9,508.0,0.5352112676056338
1,10,508.0,0.5352112676056338
1,11,508.0,0.5352112676056338
1,12,508.0,0.5352112676056338
1,13,508.0,0.5352112676056338
1,14,778.0,0.4647887323943662
1,15,508.0,0.5352112676056338
1,16,508.0,0.5352112676056338
1,17,508.0,0.5352112676056338
1,18,778.0,0.4647887323943662
1,19,508.0,0.5352112676056338
1,20,778.0,0.4647887323943662
1,21,778.0,0.4647887323943662
1,22,508.0,0.5352112676056338
1,23,778.0,0.4647887323943662
1,24,778.0,0.4647887323943662
1,25,778.0,0.4647887323943662
1,26,508.0,0.5352112676056338
1,27,778.0,0.4647887323943662
1,28,508.0,0.5352112676056338
1,29,508.0,0.5352112676056338
1,30,508.0,0.5352112676056338
1,31,508.0,0.5352112676056338
1,32,778.0,0.4647887323943662
1,33,508.0,0.5352112676056338
1,34,508.0,0.5352112676056338
1,35,778.0,0.4647887323943662
1,36,508.0,0.5352112676056338
1,37,508.0,0.5352112676056338
1,38,508.0,0.5352112676056338
1,39,508.0,0.5352112676056338
1,40,508.0,0.5352112676056338
1,41,508.0,0.5352112676056338
1,42,778.0,0.4647887323943662
1,43,508.0,0.5352112676056338
1,44,508.0,0.5352112676056338
1,45,778.0,0.4647887323943662
1,46,508.0,0.5352112676056338
1,47,508.0,0.5352112676056338
1,48,508.0,0.5352112676056338
1,49,508.0,0.5352112676056338
1,50,508.0,0.5352112676056338
1,51,508.0,0.5352112676056338
1,52,508.0,0.5352112676056338
1,53,778.0,0.4647887323943662
1,54,778.0,0.4647887323943662
1,55,508.0,0.5352112676056338
1,56,778.0,0.4647887323943662
1,57,508.0,0.5352112676056338
1,58,778.0,0.4647887323943662
1,59,508.0,0.5352112676056338
1,60,508.0,0.5352112676056338
1,61,778.0,0.4647887323943662
1,62,778.0,0.4647887323943662
1,63,508.0,0.5352112676056338
1,64,508.0,0.5352112676056338
1,65,508.0,0.5352112676056338
1,66,508.0,0.5352112676056338
1,67,778.0,0.4647887323943662
1,68,508.0,0.5352112676056338
1,69,778.0,0.4647887323943662
1,70,508.0,0.5352112676056338
1,71,778.0,0.4647887323943662
1,72,778.0,0.4647887323943662
1,73,508.0,0.5352112676056338
1,74,508.0,0.5352112676056338
1,75,778.0,0.4647887323943662
1,76,778.0,0.4647887323943662
1,77,778.0,0.4647887323943662
1,78,508.0,0.5352112676056338
1,79,508.0,0.5352112676056338
1,80,778.0,0.4647887323943662
1,81,508.0,0.5352112676056338
1,82,508.0,0.5352112676056338
1,83,508.0,0.5352112676056338
1,84,778.0,0.4647887323943662
1,85,508.0,0.5352112676056338
